datetime,symbol,Open,High,Low,Close,Volume
2007-03-29 10:00:00,BMFBOVESPA:JBSS3,5.47319864,5.47319864,4.7961019,4.7961019,45799068.60550278
2007-03-30 10:00:00,BMFBOVESPA:JBSS3,4.86663281,5.33918991,4.49281899,5.21223427,18896679.40172252
2007-04-02 10:00:00,BMFBOVESPA:JBSS3,5.14170336,5.24044664,5.035907,5.14170336,5995243.76126828
2007-04-03 10:00:00,BMFBOVESPA:JBSS3,5.16991573,5.27571209,5.035907,5.27571209,2240152.57013217
2007-04-04 10:00:00,BMFBOVESPA:JBSS3,5.18402191,5.27571209,5.12759718,5.17696882,2367189.07031182
2007-04-05 10:00:00,BMFBOVESPA:JBSS3,5.14875645,5.19812809,5.12054409,5.19812809,720535.14945644
2007-04-09 10:00:00,BMFBOVESPA:JBSS3,5.14875645,5.27571209,5.14875645,5.27571209,1281849.32826361
2007-04-10 10:00:00,BMFBOVESPA:JBSS3,5.19812809,5.21223427,5.15580954,5.19812809,921298.18991891
2007-04-11 10:00:00,BMFBOVESPA:JBSS3,5.09233172,5.18402191,4.99358845,5.10643791,2706898.28284579
2007-04-12 10:00:00,BMFBOVESPA:JBSS3,5.07117245,5.346243,5.05706627,5.346243,3918849.17964894
2007-04-13 10:00:00,BMFBOVESPA:JBSS3,5.27571209,5.41677391,5.22634045,5.346243,3793230.49755165
2007-04-16 10:00:00,BMFBOVESPA:JBSS3,5.27571209,5.40972082,5.27571209,5.31097755,4509512.192761
2007-04-17 10:00:00,BMFBOVESPA:JBSS3,5.33918991,5.33918991,5.23339354,5.30392446,1629640.10386704
2007-04-18 10:00:00,BMFBOVESPA:JBSS3,5.21928736,5.31097755,5.21928736,5.31097755,2844284.85502667
2007-04-19 10:00:00,BMFBOVESPA:JBSS3,5.27571209,5.346243,5.113491,5.346243,1634318.90353883
2007-04-20 10:00:00,BMFBOVESPA:JBSS3,5.27571209,5.48025173,5.25455282,5.48025173,1948790.95420675
2007-04-23 10:00:00,BMFBOVESPA:JBSS3,5.423827,5.48025173,5.41677391,5.41677391,1196354.89789717
2007-04-24 10:00:00,BMFBOVESPA:JBSS3,5.37445537,5.45203937,5.37445537,5.45203937,1773123.29380208
2007-04-25 10:00:00,BMFBOVESPA:JBSS3,5.41677391,5.48025173,5.38150846,5.48025173,1473112.98757426
2007-04-26 10:00:00,BMFBOVESPA:JBSS3,5.41677391,5.45203937,5.29687136,5.346243,2167134.93889052
2007-04-27 10:00:00,BMFBOVESPA:JBSS3,5.26160591,5.48025173,5.15580954,5.48025173,4943789.87138852
2007-04-30 10:00:00,BMFBOVESPA:JBSS3,5.346243,5.423827,5.346243,5.346243,616325.52040282
2007-05-02 10:00:00,BMFBOVESPA:JBSS3,5.35329609,5.45203937,5.346243,5.38150846,1551234.76391241
2007-05-03 10:00:00,BMFBOVESPA:JBSS3,5.38150846,5.45909246,5.268659,5.45203937,1807292.70958701
2007-05-04 10:00:00,BMFBOVESPA:JBSS3,5.45203937,5.48025173,5.346243,5.48025173,977160.22236398
2007-05-07 10:00:00,BMFBOVESPA:JBSS3,5.48025173,5.48730482,5.45203937,5.47319864,623131.04719816
2007-05-08 10:00:00,BMFBOVESPA:JBSS3,5.47319864,5.51551719,5.31097755,5.40972082,1972752.07979867
2007-05-09 10:00:00,BMFBOVESPA:JBSS3,5.346243,5.40266773,5.24044664,5.24044664,648368.2090642
2007-05-10 10:00:00,BMFBOVESPA:JBSS3,5.31097755,5.33918991,4.99358845,5.10643791,1327503.07051567
2007-05-11 10:00:00,BMFBOVESPA:JBSS3,5.14170336,5.21223427,5.14170336,5.20518118,392168.48158137
2007-05-14 10:00:00,BMFBOVESPA:JBSS3,5.24044664,5.27571209,5.07117245,5.21223427,1371030.08564418
2007-05-15 10:00:00,BMFBOVESPA:JBSS3,5.17696882,5.26160591,5.14875645,5.21223427,1330055.14306392
2007-05-16 10:00:00,BMFBOVESPA:JBSS3,5.19812809,5.24044664,5.05001318,5.10643791,558336.76083421
2007-05-17 10:00:00,BMFBOVESPA:JBSS3,5.13465027,5.14170336,4.94421681,5.14170336,2642529.34190654
2007-05-18 10:00:00,BMFBOVESPA:JBSS3,5.191075,5.24044664,4.97948227,5.00064154,3063904.87598457
2007-05-21 10:00:00,BMFBOVESPA:JBSS3,5.035907,5.06411936,4.81726117,4.81726117,3551208.95089243
2007-05-22 10:00:00,BMFBOVESPA:JBSS3,4.85957972,4.92305754,4.83136736,4.83136736,1466165.67897068
2007-05-23 10:00:00,BMFBOVESPA:JBSS3,4.89484518,4.89484518,4.75378335,4.76788954,1086757.56013058
2007-05-24 10:00:00,BMFBOVESPA:JBSS3,4.78199572,4.86663281,4.77494263,4.86663281,537069.48959878
2007-05-25 10:00:00,BMFBOVESPA:JBSS3,4.86663281,4.89484518,4.80315499,4.83136736,955325.82389561
2007-05-28 10:00:00,BMFBOVESPA:JBSS3,4.88779208,5.06411936,4.83842045,5.00769463,1711022.86179462
2007-05-29 10:00:00,BMFBOVESPA:JBSS3,5.27571209,5.27571209,5.05001318,5.06411936,12610924.71537824
2007-05-30 10:00:00,BMFBOVESPA:JBSS3,5.05706627,5.346243,4.91600445,5.346243,14193067.91348614
2007-05-31 10:00:00,BMFBOVESPA:JBSS3,5.48025173,5.60720737,5.43793318,5.55078264,15031990.87281981
2007-06-01 10:00:00,BMFBOVESPA:JBSS3,5.65657971,6.12913611,5.65657971,5.75532228,13303670.63042037
2007-06-04 10:00:00,BMFBOVESPA:JBSS3,5.82585319,6.03039283,5.24044664,5.24044664,11635182.31109662
2007-06-05 10:00:00,BMFBOVESPA:JBSS3,5.51551719,5.64952592,5.48025173,5.53667646,14304791.97837627
2007-06-06 10:00:00,BMFBOVESPA:JBSS3,5.53667646,5.60720737,5.48025173,5.48025173,5197012.1808984
2007-06-08 10:00:00,BMFBOVESPA:JBSS3,5.346243,5.54372955,5.21928736,5.54372955,6420305.62236045
2007-06-11 10:00:00,BMFBOVESPA:JBSS3,5.57899501,5.62131355,5.41677391,5.44498628,1543720.32807589
2007-06-12 10:00:00,BMFBOVESPA:JBSS3,5.40972082,5.54372955,5.32508373,5.48025173,2682937.15725386
2007-06-13 10:00:00,BMFBOVESPA:JBSS3,5.41677391,5.48025173,5.36740227,5.38150846,1359262.19556058
2007-06-14 10:00:00,BMFBOVESPA:JBSS3,5.346243,5.45203937,5.346243,5.39561464,5567346.26401139
2007-06-15 10:00:00,BMFBOVESPA:JBSS3,5.41677391,5.45203937,5.10643791,5.12759718,4374961.25674483
2007-06-18 10:00:00,BMFBOVESPA:JBSS3,5.16286263,5.23339354,4.93716372,5.0288539,1771847.25752796
2007-06-19 10:00:00,BMFBOVESPA:JBSS3,5.02180081,5.09233172,4.80315499,4.82431427,3392555.10747611
2007-06-20 10:00:00,BMFBOVESPA:JBSS3,4.90189827,5.16991573,4.73262408,5.06411936,6103281.49914427
